date,open,high,low,close,adj close,volume
"Sep 18, 2024",230.09,231.74,227.15,228.92,228.92,11108958
"Sep 17, 2024",229.45,234.57,226.55,227.87,227.87,66601200
"Sep 16, 2024",229.30,229.96,223.53,226.78,226.78,54323000
"Sep 13, 2024",228.00,232.67,226.32,230.29,230.29,59515100
"Sep 12, 2024",224.66,231.45,223.83,229.81,229.81,72020000
"Sep 11, 2024",224.55,228.47,216.80,228.13,228.13,83548600
"Sep 10, 2024",220.07,226.40,218.64,226.17,226.17,78891100
"Sep 9, 2024",216.20,219.87,213.67,216.27,216.27,67443500
"Sep 6, 2024",232.60,233.60,210.51,210.73,210.73,112177000
"Sep 5, 2024",223.49,235.00,222.25,230.17,230.17,119355000
"Sep 4, 2024",210.59,222.22,210.57,219.41,219.41,80651800
"Sep 3, 2024",215.26,219.90,209.64,210.60,210.60,76714200
"Aug 30, 2024",208.63,214.57,207.03,214.11,214.11,63370600
"Aug 29, 2024",209.80,214.89,205.97,206.28,206.28,62308800
"Aug 28, 2024",209.72,211.84,202.59,205.75,205.75,64116400
"Aug 27, 2024",213.25,215.66,206.94,209.21,209.21,62821400
"Aug 26, 2024",218.75,219.09,211.01,213.21,213.21,59301200
"Aug 23, 2024",214.46,221.48,214.21,220.32,220.32,81525200
"Aug 22, 2024",223.82,224.80,210.32,210.66,210.66,79514500
"Aug 21, 2024",222.67,224.66,218.86,223.27,223.27,70146000
"Aug 20, 2024",224.88,228.22,219.56,221.10,221.10,74001200
"Aug 19, 2024",217.07,222.98,214.09,222.72,222.72,76435200
"Aug 16, 2024",211.15,219.80,210.80,216.12,216.12,88765100
"Aug 15, 2024",205.02,215.88,204.82,214.14,214.14,89848500
"Aug 14, 2024",207.39,208.44,198.75,201.38,201.38,70250000
"Aug 13, 2024",198.47,208.49,197.06,207.83,207.83,76247400
"Aug 12, 2024",199.02,199.26,194.67,197.49,197.49,64044900
"Aug 9, 2024",197.05,200.88,195.11,200.00,200.00,58648300
"Aug 8, 2024",195.70,200.70,192.04,198.84,198.84,65033900
"Aug 7, 2024",200.77,203.49,191.48,191.76,191.76,71159800
"Aug 6, 2024",200.75,202.90,192.67,200.64,200.64,73783900
"Aug 5, 2024",185.22,203.88,182.00,198.88,198.88,100308800
"Aug 2, 2024",214.88,216.13,205.78,207.67,207.67,82880100
"Aug 1, 2024",227.69,231.87,214.33,216.86,216.86,83861900
"Jul 31, 2024",227.90,234.68,226.79,232.07,232.07,67497000
"Jul 30, 2024",232.25,232.41,220.00,222.62,222.62,100560300
"Jul 29, 2024",224.90,234.27,224.70,232.10,232.10,129201800
"Jul 26, 2024",221.19,222.28,215.33,219.80,219.80,94604100
"Jul 25, 2024",216.80,226.00,216.23,220.25,220.25,100636500
"Jul 24, 2024",225.42,225.99,214.71,215.99,215.99,167942900
"Jul 23, 2024",253.60,255.76,245.63,246.38,246.38,111928200
"Jul 22, 2024",244.21,253.21,243.75,251.51,251.51,101225400
"Jul 19, 2024",247.79,249.44,236.83,239.20,239.20,87403900
"Jul 18, 2024",251.09,257.14,247.20,249.23,249.23,110869000
"Jul 17, 2024",252.73,258.47,246.18,248.50,248.50,115584800
"Jul 16, 2024",255.31,258.62,245.80,256.56,256.56,126332500
"Jul 15, 2024",255.97,265.60,251.73,252.64,252.64,146912900
"Jul 12, 2024",235.80,251.84,233.09,248.23,248.23,155955800
"Jul 11, 2024",263.30,271.00,239.65,241.03,241.03,221707300
"Jul 10, 2024",262.80,267.59,257.86,263.26,263.26,128519400
"Jul 9, 2024",251.00,265.61,250.30,262.33,262.33,160210900
"Jul 8, 2024",247.71,259.44,244.57,252.94,252.94,157219600
"Jul 5, 2024",249.81,252.37,242.46,251.52,251.52,154501200
"Jul 3, 2024",234.56,248.35,234.25,246.39,246.39,166561500
"Jul 2, 2024",218.89,231.30,218.06,231.26,231.26,205047900
"Jul 1, 2024",201.02,213.23,200.85,209.86,209.86,135691400
"Jun 28, 2024",199.55,203.20,195.26,197.88,197.88,95438100
"Jun 27, 2024",195.17,198.72,194.05,197.42,197.42,72746500
"Jun 26, 2024",186.54,197.76,186.36,196.37,196.37,95737100
"Jun 25, 2024",184.40,187.97,182.01,187.35,187.35,63678300
"Jun 24, 2024",184.97,188.80,182.55,182.58,182.58,61992100
"Jun 21, 2024",182.30,183.95,180.69,183.01,183.01,63029500
"Jun 20, 2024",184.68,185.21,179.66,181.57,181.57,55893100
"Jun 18, 2024",186.56,187.20,182.37,184.86,184.86,68982300
"Jun 17, 2024",177.92,188.81,177.00,187.44,187.44,109786100
"Jun 14, 2024",185.80,186.00,176.92,178.01,178.01,82038200
"Jun 13, 2024",188.39,191.08,181.23,182.47,182.47,118984100
"Jun 12, 2024",171.12,180.55,169.80,177.29,177.29,90389400
"Jun 11, 2024",173.92,174.75,167.41,170.66,170.66,64761900
"Jun 10, 2024",176.06,178.57,173.17,173.79,173.79,50869700
"Jun 7, 2024",176.13,179.35,175.58,177.48,177.48,56244900
"Jun 6, 2024",174.60,179.73,172.73,177.94,177.94,69887000
"Jun 5, 2024",175.35,176.15,172.13,175.00,175.00,57953800
"Jun 4, 2024",174.78,177.76,174.00,174.77,174.77,60056300
"Jun 3, 2024",178.13,182.64,174.49,176.29,176.29,68568900
"May 31, 2024",178.50,180.32,173.82,178.08,178.08,67314600
"May 30, 2024",178.58,182.67,175.38,178.79,178.79,77784800
"May 29, 2024",174.19,178.15,173.93,176.19,176.19,54782600
"May 28, 2024",176.40,178.25,173.16,176.75,176.75,59736600
"May 24, 2024",174.84,180.08,173.73,179.24,179.24,65479700
"May 23, 2024",181.80,181.90,173.26,173.74,173.74,71975500
"May 22, 2024",182.85,183.80,178.12,180.11,180.11,88313500
"May 21, 2024",175.51,186.88,174.71,186.60,186.60,115266500
"May 20, 2024",177.56,177.75,173.52,174.95,174.95,61727400
"May 17, 2024",173.55,179.63,172.75,177.46,177.46,77445800
"May 16, 2024",174.10,175.79,171.43,174.84,174.84,59812200
"May 15, 2024",179.90,180.00,173.11,173.99,173.99,79663000
"May 14, 2024",174.50,179.49,174.07,177.55,177.55,86407400
"May 13, 2024",170.00,175.40,169.00,171.89,171.89,67018900
"May 10, 2024",173.05,173.06,167.75,168.47,168.47,72627200
"May 9, 2024",175.01,175.62,171.37,171.97,171.97,65950300
"May 8, 2024",171.59,176.06,170.15,174.72,174.72,79969500
"May 7, 2024",182.40,183.26,177.40,177.81,177.81,75045900
"May 6, 2024",183.80,187.56,182.20,184.76,184.76,84390300
"May 3, 2024",182.10,184.78,178.42,181.19,181.19,75491500
"May 2, 2024",182.86,184.60,176.02,180.01,180.01,89148000
"May 1, 2024",182.00,185.86,179.01,179.99,179.99,92829700
"Apr 30, 2024",186.98,190.95,182.84,183.28,183.28,127031800
"Apr 29, 2024",188.42,198.87,184.54,194.05,194.05,243869700
"Apr 26, 2024",168.85,172.12,166.37,168.29,168.29,109815700
"Apr 25, 2024",158.96,170.88,158.36,170.18,170.18,126427500
"Apr 24, 2024",162.84,167.97,157.51,162.13,162.13,181178000
"Apr 23, 2024",143.33,147.26,141.11,144.68,144.68,124545100
"Apr 22, 2024",140.56,144.44,138.80,142.05,142.05,107097600
"Apr 19, 2024",148.97,150.94,146.22,147.05,147.05,86005100
"Apr 18, 2024",151.25,152.20,148.70,149.93,149.93,96098800
"Apr 17, 2024",157.64,158.33,153.78,155.45,155.45,82439700
"Apr 16, 2024",156.74,158.19,153.75,157.11,157.11,97000000
"Apr 15, 2024",170.24,170.69,161.38,161.48,161.48,100245300
"Apr 12, 2024",172.34,173.81,170.36,171.05,171.05,64506600
"Apr 11, 2024",172.55,175.88,168.51,174.60,174.60,94516000
"Apr 10, 2024",173.04,174.93,170.01,171.76,171.76,84532400
"Apr 9, 2024",172.91,179.22,171.92,176.88,176.88,103232700
"Apr 8, 2024",169.34,174.50,167.79,172.98,172.98,104423300
"Apr 5, 2024",169.08,170.86,160.51,164.90,164.90,141250700
"Apr 4, 2024",170.07,177.19,168.01,171.11,171.11,123162000
"Apr 3, 2024",164.02,168.82,163.28,168.38,168.38,82950100
"Apr 2, 2024",164.75,167.69,163.43,166.63,166.63,116650600
"Apr 1, 2024",176.17,176.75,170.21,175.22,175.22,81562100
"Mar 28, 2024",177.45,179.57,175.30,175.79,175.79,77654800
"Mar 27, 2024",181.41,181.91,176.00,179.83,179.83,81804000
"Mar 26, 2024",178.58,184.25,177.38,177.67,177.67,113186200
"Mar 25, 2024",168.76,175.24,168.73,172.63,172.63,74228600
"Mar 22, 2024",166.69,171.20,166.30,170.83,170.83,75454700
"Mar 21, 2024",176.39,178.18,171.80,172.82,172.82,73178000
"Mar 20, 2024",173.00,176.25,170.82,175.66,175.66,83846700
"Mar 19, 2024",172.36,172.82,167.42,171.32,171.32,77271400
"Mar 18, 2024",170.02,174.72,165.90,173.80,173.80,108214400
"Mar 15, 2024",163.16,165.18,160.76,163.57,163.57,96971900
"Mar 14, 2024",167.77,171.17,160.51,162.50,162.50,126325700
"Mar 13, 2024",173.05,176.05,169.15,169.48,169.48,106524500
"Mar 12, 2024",177.77,179.43,172.41,177.54,177.54,87391700
"Mar 11, 2024",175.45,182.87,174.80,177.77,177.77,85391500
"Mar 8, 2024",181.50,182.73,174.70,175.34,175.34,85315300
"Mar 7, 2024",174.35,180.04,173.70,178.65,178.65,102129000
"Mar 6, 2024",179.99,181.58,173.70,176.54,176.54,107920900
"Mar 5, 2024",183.05,184.59,177.57,180.74,180.74,119660800
"Mar 4, 2024",198.73,199.75,186.72,188.14,188.14,134334900
"Mar 1, 2024",200.52,204.52,198.50,202.64,202.64,82099200
"Feb 29, 2024",204.18,205.28,198.45,201.88,201.88,85907000
"Feb 28, 2024",200.42,205.30,198.44,202.04,202.04,99806200
